experiment_id,timestamp_utc,relative_time_sec,sample_index,role,device,sample_interval_ms,telemetry_source,bytes_sent_total,bytes_received_total,bytes_sent_delta,bytes_received_delta,cpu_usage_percent,memory_usage_mb,memory_usage_percent,gpu_usage_percent,gpu_memory_used_mb,gpu_memory_total_mb,cpu_power_w,gpu_power_w,system_power_w,cpu_energy_j,gpu_energy_j,system_energy_j
20260820_142704_79edcc8b,2026-08-20T18:28:01.879877+00:00,57.65829192701494,114,server,ubuntu,500,psutil,12915264950,26839613692,94,66,1.5,11551.94921875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:02.380282+00:00,58.158696635015076,115,server,ubuntu,500,psutil,12915264950,26839613692,0,0,1.8,11551.94921875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:02.880757+00:00,58.659172782994574,116,server,ubuntu,500,psutil,12915265138,26839613863,188,171,1.5,11541.49609375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:03.381188+00:00,59.15960283001186,117,server,ubuntu,500,psutil,12915265138,26839613863,0,0,1.3,11541.5390625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:03.881600+00:00,59.66001488099573,118,server,ubuntu,500,psutil,12915265232,26839613929,94,66,1.3,11541.5390625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:04.382070+00:00,60.1604846350092,119,server,ubuntu,500,psutil,12915266544,26839615084,1312,1155,1.0,11542.52734375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:04.882550+00:00,60.66096534600365,120,server,ubuntu,500,psutil,12915266638,26839615150,94,66,1.5,11542.51171875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:05.383023+00:00,61.16143816401018,121,server,ubuntu,500,psutil,12915266753,26839615274,115,124,1.5,11542.53125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:05.883576+00:00,61.661991386004956,122,server,ubuntu,500,psutil,12915266917,26839615382,164,108,1.3,11542.53125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:06.384086+00:00,62.162501112004975,123,server,ubuntu,500,psutil,12915270274,26839617510,3357,2128,1.5,11542.53125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:06.884582+00:00,62.662996597005986,124,server,ubuntu,500,psutil,12915270556,26839617642,282,132,1.3,11542.53125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:07.385055+00:00,63.16346988300211,125,server,ubuntu,500,psutil,12915270671,26839617789,115,147,1.3,11542.99609375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:07.885522+00:00,63.663937011006055,126,server,ubuntu,500,psutil,12915270765,26839617855,94,66,1.3,11542.99609375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:08.385990+00:00,64.16440450699884,127,server,ubuntu,500,psutil,12915270765,26839617855,0,0,1.5,11542.99609375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:08.886541+00:00,64.66495590799605,128,server,ubuntu,500,psutil,12915270981,26839618077,216,222,1.5,11542.99609375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:09.387032+00:00,65.16544680399238,129,server,ubuntu,500,psutil,12915270981,26839618077,0,0,1.5,11542.99609375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:09.887741+00:00,65.66615669900784,130,server,ubuntu,500,psutil,12915271075,26839618143,94,66,1.0,11542.99609375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:10.388471+00:00,66.16688579600304,131,server,ubuntu,500,psutil,12915271263,26839618209,188,66,1.5,11542.99609375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:10.889202+00:00,66.66761760099325,132,server,ubuntu,500,psutil,12915271483,26839618953,220,744,1.3,11542.99609375,36.2,,,,,,,,,
